Product Handle,Product Title,Product Status,Product Description,Product Thumbnail,Product Image 1,Product Image 2,Product Image 3,Product Image 4,Product Image 5,Product Category 1,Product Category 2,Product Category 3,Product Tag 1,Product Tag 2,Product Tag 3,Product Discountable,Variant Title,Variant Sku,Variant Price KRW,Variant Option 1 Name,Variant Option 1 Value,Variant Manage Inventory,Variant Allow Backorder
메소드메이크업-분장용-콤비펜슬-듀얼펜슬-블랙브라운-아이브로우-아이라인,메소드메이크업 분장용 콤비펜슬 듀얼펜슬 블랙/브라운 아이브로우 아이라인,draft,메소드메이크업 분장용 콤비펜슬 듀얼펜슬 블랙/브라운 아이브로우 아이라인,https://almondyoung.com/web/product/medium/202502/a037295cd7b4651bf69ffbf24aa7716f.jpg,,,,,,,,,신상품,메이크업,,true,Default,01999bf0-55fc-772f-9ff6-dfc75b71beb7,2900,,,true,false
메소드-메이크업-스프리트검-국가자격증-수염-접착제,메소드 메이크업 스프리트검 국가자격증 수염 접착제,draft,메소드 메이크업 스프리트검 국가자격증 수염 접착제,https://almondyoung.com/web/product/medium/202502/63b1efd16964c2ce4598f6a1f9677392.jpg,,,,,,,,,신상품,메이크업,,true,Default,01999bf0-4efa-724c-9a75-ddebeb3b1d47,2900,,,true,false
분장용-스프리트검-리무버-60ml-수염접착제리무버-메이크업,분장용 스프리트검 리무버 60ml 수염접착제리무버 메이크업,draft,분장용 스프리트검 리무버 60ml 수염접착제리무버 메이크업,https://almondyoung.com/web/product/medium/202502/d3c9af3899c51cd7be8392f9acc38bf2.jpg,,,,,,,,,신상품,메이크업,,true,Default,01999bf0-47fe-70eb-950a-136e8037c3d8,2900,,,true,false
메소드101-메이크업-국가자격증-패턴속눈썹-10종-세트-실기시험용,메소드101 메이크업 국가자격증 패턴속눈썹 10종 세트 실기시험용,draft,메소드101 메이크업 국가자격증 패턴속눈썹 10종 세트 실기시험용,https://almondyoung.com/web/product/medium/202502/49b172a98acb741f716841b38cedc923.jpg,,,,,,,,,신상품,메이크업,,true,Default,01999bf0-40cb-7071-ad84-0e39b5b2ba51,5100,,,true,false
수염-분장용-메이크업-국가고시-자격증-실기시험용-재료-친수염-생사,수염 분장용 메이크업 국가고시 자격증 실기시험용 재료 친수염 생사,draft,수염 분장용 메이크업 국가고시 자격증 실기시험용 재료 친수염 생사,https://almondyoung.com/web/product/medium/202502/74aef24c4bb76742788fbd751039f806.jpg,,,,,,,,,신상품,메이크업,,true,Default,01999bf0-39f5-766d-aac7-65624c175f1a,6500,,,true,false
블랙-투웨이-트위저-꾹꾹이-네일-핀셋,블랙 투웨이 트위저 꾹꾹이 네일 핀셋,draft,블랙 투웨이 트위저 꾹꾹이 네일 핀셋,https://almondyoung.com/web/product/medium/202503/739858f499dacfa9125df93ac0dd0737.jpg,,,,,,,,,신상품,메이크업,,true,Default,01999bf0-32b0-753e-875f-9fc977a031e2,1000,,,true,false
핑크-투웨이-트위저-꾹꾹이-네일-핀셋,핑크 투웨이 트위저 꾹꾹이 네일 핀셋,draft,핑크 투웨이 트위저 꾹꾹이 네일 핀셋,https://almondyoung.com/web/product/medium/202503/ce0d0f118e098fe9b080ba0d3764f053.jpg,,,,,,,,,신상품,메이크업,,true,Default,01999bf0-2ba8-719f-af84-d33c7c38804f,1000,,,true,false
직선형-파스텔-네일-속눈썹-핀셋-집게-9종,직선형 파스텔 네일 속눈썹 핀셋 집게 9종,draft,직선형 파스텔 네일 속눈썹 핀셋 집게 9종,https://almondyoung.com/web/product/medium/202503/e304379c40281282d796f709296d995e.jpg,,,,,,,,,신상품,메이크업,,true,연핑크 [품절],01999bf0-25eb-73ba-8cd9-672c12cacef0,100,,,true,false
직선형-파스텔-네일-속눈썹-핀셋-집게-9종,직선형 파스텔 네일 속눈썹 핀셋 집게 9종,draft,직선형 파스텔 네일 속눈썹 핀셋 집게 9종,https://almondyoung.com/web/product/medium/202503/e304379c40281282d796f709296d995e.jpg,,,,,,,,,,,,,연하늘 [품절],01999bf0-2729-729e-b7a9-ed5e8dc9c206,100,,,true,false
직선형-파스텔-네일-속눈썹-핀셋-집게-9종,직선형 파스텔 네일 속눈썹 핀셋 집게 9종,draft,직선형 파스텔 네일 속눈썹 핀셋 집게 9종,https://almondyoung.com/web/product/medium/202503/e304379c40281282d796f709296d995e.jpg,,,,,,,,,,,,,연보라 [품절],01999bf0-2863-73dd-b406-21f086ad57cc,100,,,true,false
